Numer of labeled samples:27056   AUC:0.979
Numer of labeled samples:26998   AUC:0.978
Numer of labeled samples:27013   AUC:0.978
Numer of labeled samples:26987   AUC:0.975
Numer of labeled samples:27049   AUC:0.979
Numer of labeled samples:27057   AUC:0.978
Numer of labeled samples:27065   AUC:0.978
Numer of labeled samples:27060   AUC:0.979
Numer of labeled samples:27024   AUC:0.978
Numer of labeled samples:27020   AUC:0.979
Numer of labeled samples:27031   AUC:0.979
Numer of labeled samples:27095   AUC:0.978
Numer of labeled samples:27067   AUC:0.978
Numer of labeled samples:27059   AUC:0.978
Numer of labeled samples:27016   AUC:0.979
Numer of labeled samples:26983   AUC:0.977
Numer of labeled samples:27041   AUC:0.978
Numer of labeled samples:26976   AUC:0.978
Numer of labeled samples:27017   AUC:0.977
Numer of labeled samples:27044   AUC:0.978
Numer of labeled samples:27046   AUC:0.978
Numer of labeled samples:27077   AUC:0.977
Numer of labeled samples:27010   AUC:0.976
Numer of labeled samples:26999   AUC:0.977
Numer of labeled samples:26999   AUC:0.977
Numer of labeled samples:27034   AUC:0.978
Numer of labeled samples:27073   AUC:0.978
Numer of labeled samples:27048   AUC:0.977
Numer of labeled samples:27044   AUC:0.978
Numer of labeled samples:27084   AUC:0.978
Numer of labeled samples:27082   AUC:0.978
Numer of labeled samples:27068   AUC:0.977
Numer of labeled samples:27068   AUC:0.978
Numer of labeled samples:27021   AUC:0.976
Numer of labeled samples:27000   AUC:0.979
Numer of labeled samples:27082   AUC:0.977
Numer of labeled samples:27157   AUC:0.979
Numer of labeled samples:27049   AUC:0.978
Numer of labeled samples:27051   AUC:0.978
Numer of labeled samples:27092   AUC:0.978
Numer of labeled samples:27025   AUC:0.978
Numer of labeled samples:27110   AUC:0.977
Numer of labeled samples:26958   AUC:0.977
Numer of labeled samples:26940   AUC:0.978
Numer of labeled samples:27033   AUC:0.977
Numer of labeled samples:26986   AUC:0.978
Numer of labeled samples:26913   AUC:0.975
Numer of labeled samples:26990   AUC:0.976
Numer of labeled samples:26986   AUC:0.977
Numer of labeled samples:26933   AUC:0.976
Numer of labeled samples:27062   AUC:0.979
Numer of labeled samples:26955   AUC:0.977
Numer of labeled samples:26989   AUC:0.978
Numer of labeled samples:27003   AUC:0.977
Numer of labeled samples:26988   AUC:0.976
Numer of labeled samples:26978   AUC:0.978
Numer of labeled samples:26985   AUC:0.977
Numer of labeled samples:26959   AUC:0.976
Numer of labeled samples:26977   AUC:0.976
Numer of labeled samples:26991   AUC:0.975
Numer of labeled samples:27006   AUC:0.977
Numer of labeled samples:26988   AUC:0.976
